trip_id,package_key,day_number,title,summary,activities,meals_included,image_url,image_urls
int-bali-4n5d,basic,1,Arrival and villa check-in,Airport pickup check-in relaxed evening,Private pickup|Check-in assistance|Sunset cafe option,,https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800,https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800|https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
int-bali-4n5d,basic,2,Ubud culture trail,Temples rice terraces artisan lanes,Temple visit|Tegallalang viewpoint|Artisan market,Breakfast,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800|https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800|https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800
int-bali-4n5d,basic,3,Nusa Penida adventure,Speedboat excursion and beaches,Boat transfers|Beach viewpoints|Snorkel option,Breakfast,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800|https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
int-bali-4n5d,basic,4,Beach day and shopping,Free time and curated stops,Beach leisure|Cafes|Shopping street,Breakfast,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800|https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800
int-bali-4n5d,basic,5,Departure,Checkout and airport drop,Checkout|Airport transfer,Breakfast,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800|https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800|https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
int-bali-4n5d,premium,1,VIP arrival and butler check-in,Lounge assist premium villa sunset dining,VIP pickup|Butler check-in|Chef tasting option,Welcome drink,https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800,https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800|https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800|https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800
int-bali-4n5d,premium,2,Ubud culture and spa,Temples terraces spa credit,Temple|Tegallalang|Spa session,Breakfast|High tea,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800,https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800|https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
int-bali-4n5d,premium,3,Nusa Penida premium cruise,Premium deck snorkel gear,Boat premium deck|Beaches|Guided snorkel,Breakfast|Lunch on cruise,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800,https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800|https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800|https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800
int-bali-4n5d,premium,4,Beach club and concierge,Reserved club shopping help,Beach club|Concierge shopping|Cafes,Breakfast,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800,https://images.unsplash.com/photo-1544644181-1484b3fdfc62?w=800|https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800|https://images.unsplash.com/photo-1518548419970-58e3b4079ab2?w=800
int-bali-4n5d,premium,5,Departure,Checkout and transfer,Checkout|Airport transfer,Breakfast,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800|https://images.unsplash.com/photo-1537996194471-e257cf670b8a?w=800|https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800
dom-kashmir-4n5d,basic,1,Arrival Srinagar,Pickup and Dal Lake evening,Check-in|Shikara ride,,https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800,https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800|https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800
dom-kashmir-4n5d,basic,2,Local sightseeing,Gardens and old city lanes,Mughal gardens|Local markets,Breakfast,https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800,https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800|https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
dom-kashmir-4n5d,basic,3,Gulmarg day visit,Snow views and leisure,Gulmarg|Gondola optional,Breakfast,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800
dom-kashmir-4n5d,basic,4,Pahalgam transfer,Valley drive riverside evening,Transfer|Riverside walk,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
dom-kashmir-4n5d,basic,5,Departure,Checkout and return,Drop,Breakfast,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800|https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
dom-kashmir-4n5d,premium,1,Arrival Srinagar,Premium houseboat Dal evening,Check-in|Extended Shikara|Kahwa,Kahwa,https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800,https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
dom-kashmir-4n5d,premium,2,Local sightseeing,Private vehicle gardens,Mughal gardens|Markets,Breakfast,https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800,https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800
dom-kashmir-4n5d,premium,3,Gulmarg day visit,Priority gondola slots,Gulmarg|Gondola optional,Breakfast,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800
dom-kashmir-4n5d,premium,4,Pahalgam transfer,Scenic drive nature walk,Transfer|Nature walk,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800|https://images.unsplash.com/photo-1566836610590-4a4a3b3e4b8a?w=800
dom-kashmir-4n5d,premium,5,Departure,Checkout and return,Drop,Breakfast,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800,https://images.unsplash.com/photo-1501785888041-af3ef285b470?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1597075687490-8ebb67367227?w=800
grp-manali-3n4d,basic,1,Arrival and group briefing,Check-in coordinator meet-and-greet,Check-in|Group briefing|Welcome dinner,Dinner,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
grp-manali-3n4d,basic,2,Local sightseeing,Old Manali temples and mall road,Van tour|Mall road|Cafes,Breakfast|Dinner,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800
grp-manali-3n4d,basic,3,Solang and adventure,Snow views optional activities,Solang|Ropeway optional|Leisure,Breakfast|Dinner,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800
grp-manali-3n4d,basic,4,Departure,Checkout and group return,Checkout|Group drop to boarding point,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
grp-manali-3n4d,premium,1,Arrival and briefing,Deluxe wing check-in coordinator,Check-in|Group briefing|Welcome dinner,Dinner,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
grp-manali-3n4d,premium,2,Local sightseeing,Private group van and guide add-on,Van tour|Mall road|Cafes,Breakfast|Dinner,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800,https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800
grp-manali-3n4d,premium,3,Solang premium,Priority slots at activities,Solang|Adventure bundle optional|Leisure,Breakfast|Dinner,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800|https://images.unsplash.com/photo-1593181628554-868f7b3a874b?w=800|https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
grp-manali-3n4d,premium,4,Departure,Checkout and transfer,Checkout|Group drop,Breakfast,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800|https://images.unsplash.com/photo-1626621341517-bbf3d9990a23?w=800|https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
